Sample_ID,Type,Sex,Origin,Treatment,Site,Date,Mesocosm,Wtreatment,Ntreatment
ES0038,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0039,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0040,mosquito,M,Field,FIEL,Makiki,7/15/21,NA,Natural,Natural
ES0041,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0042,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0043,mosquito,M,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0044,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0045,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0046,mosquito,M,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0047,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0048,mosquito,M,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0049,mosquito,M,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0050,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0051,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0052,mosquito,M,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0053,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0054,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0055,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0056,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0057,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0058,mosquito,F,Lab,AFS,Lab,7/20/21,AFS7,Field,Sterile
ES0059,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0060,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0061,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0062,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0063,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0064,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0065,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0066,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0067,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0068,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0069,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0070,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0071,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0072,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0073,mosquito,M,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0074,mosquito,F,Lab,AFS,Lab,7/20/21,AFS9,Field,Sterile
ES0075,mosquito,M,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0076,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0077,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0078,mosquito,M,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0079,mosquito,M,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0080,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0081,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0082,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0083,mosquito,M,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0084,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0085,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0086,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0087,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0088,mosquito,F,Lab,ALS,Lab,7/20/21,ALS7,Lab,Sterile
ES0089,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0090,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0091,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0092,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0093,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0094,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0095,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0096,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0097,mosquito,M,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0098,mosquito,F,Lab,ALN,Lab,7/20/21,ALN8,Lab,Nonsterile
ES0099,mosquito,M,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0100,mosquito,M,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0101,mosquito,M,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0102,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0103,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0104,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0105,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0106,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0107,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0108,mosquito,M,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0109,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0110,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0111,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0112,mosquito,F,Lab,ALN,Lab,7/20/21,ALN9,Lab,Nonsterile
ES0113,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0114,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0115,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0116,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0117,mosquito,M,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0118,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0119,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0120,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0121,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0122,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0123,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0124,mosquito,F,Lab,ALS,Lab,7/20/21,ALS9,Lab,Sterile
ES0135,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0136,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0137,mosquito,F,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0138,mosquito,M,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0139,mosquito,F,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0140,mosquito,F,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0141,mosquito,M,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0142,mosquito,M,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0143,mosquito,F,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0144,mosquito,M,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0145,mosquito,M,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0146,mosquito,F,Lab,AFN,Lab,7/20/21,AFN9,Field,Nonsterile
ES0147,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0148,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0149,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0150,mosquito,M,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0151,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0152,mosquito,M,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0153,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0154,mosquito,M,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0155,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0156,mosquito,M,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0157,mosquito,M,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0158,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0159,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0160,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0161,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0162,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0163,mosquito,F,Lab,AFN,Lab,7/20/21,AFN8,Field,Nonsterile
ES0164,mosquito,M,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0165,mosquito,M,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0166,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0167,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0168,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0169,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0170,mosquito,M,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0171,mosquito,M,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0172,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0173,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0174,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0175,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0176,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0177,mosquito,M,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0178,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0179,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0180,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0181,mosquito,F,Lab,AFN,Lab,7/20/21,AFN7,Field,Nonsterile
ES0182,mosquito,M,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0183,mosquito,F,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0184,mosquito,M,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0185,mosquito,F,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0186,mosquito,F,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0187,mosquito,F,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0188,mosquito,M,Lab,AFS,Lab,7/20/21,AFS8,Field,Sterile
ES0189,mosquito,M,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0190,mosquito,M,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0191,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0192,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0193,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0194,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0195,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0196,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0197,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0198,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0199,mosquito,F,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0200,mosquito,M,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0201,mosquito,M,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0202,mosquito,M,Lab,ALS,Lab,7/20/21,ALS8,Lab,Sterile
ES0203,mosquito,M,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0204,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0205,mosquito,M,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0206,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0207,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
ES0208,mosquito,F,Lab,ALN,Lab,7/20/21,ALN7,Lab,Nonsterile
AFN7,water,,Field,AFN,Lab,,AFN7,Field,Nonsterile
AFN8,water,,Field,AFN,Lab,,AFN8,Field,Nonsterile
AFN9,water,,Field,AFN,Lab,,AFN9,Field,Nonsterile
AFS7,water,,Field,AFS,Lab,,AFS7,Field,Sterile
AFS8,water,,Field,AFS,Lab,,AFS8,Field,Sterile
AFS9,water,,Field,AFS,Lab,,AFS9,Field,Sterile
ALN7,water,,Lab,ALN,Lab,,ALN7,Lab,Nonsterile
ALN8,water,,Lab,ALN,Lab,,ALN8,Lab,Nonsterile
ALN9,water,,Lab,ALN,Lab,,ALN9,Lab,Nonsterile
ALS7,water,,Lab,ALS,Lab,,ALS7,Lab,Sterile
ALS8,water,,Lab,ALS,Lab,,ALS8,Lab,Sterile
ALS9,water,,Lab,ALS,Lab,,ALS9,Lab,Sterile
ART_NEC,water,,Field,na,Lab,,,Lab,Nonsterile
FIELD_WATER,water,,Field,na,Makiki,,,Field,Nonsterile
LAB_WATER,water,,Lab,na,Lab,,,Lab,Nonsterile
